id,user_id,created_at,text,class
1.06844E+18,1.06843E+18,Fri Nov 30 09:35:26 +0000 2018,"""RT @AmithWeerasing3: 2018-11-27 දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව..…""",Neutral
1.06802E+18,1.06291E+18,Thu Nov 29 05:36:08 +0000 2018,"""RT @AmithWeerasing3: මා UNP හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ.. ඒකාබද්ධ විපක්ෂය වැනි වි…""",Neutral
1.068E+18,150942005,Thu Nov 29 04:46:25 +0000 2018,"""@dead_mans_creed @Wind_Desika කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය?""",Neutral
1.06773E+18,2483063340,Wed Nov 28 10:54:43 +0000 2018,"""@MrThila_ @maalupaan @punchi_kella @anuwa01 @da_sukiya එහෙම කොහොමද උනේ 😂😂 පරය අපිව අයින් කරල නේ 😂""",Neutral
1.06669E+18,2203056031,Sun Nov 25 13:43:18 +0000 2018,"""විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා.... පරය. රටට වෑඩක් කරපන් යකො. හොරා....""",Offensive
1.06524E+18,927065408,Wed Nov 21 13:41:45 +0000 2018,"""RT @SaliyaT_R: @fernandoharin ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම. ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්""",Neutral
1.06522E+18,2876666923,Wed Nov 21 12:32:59 +0000 2018,"""@fernandoharin ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම. ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්""",Neutral
1.0648E+18,3089536357,Tue Nov 20 08:54:00 +0000 2018,"""@She_is_Nu @nthathsaranii ඇයි මං තම්බි වගේද පෙන්නෙ😏 මං බ්‍රහස්පතින්දා ගෙදර එන්නෙ..එතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම්😅""",Neutral
1.06387E+18,1.05965E+18,Sat Nov 17 19:11:08 +0000 2018,"""@Sagara_9 ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ්""",Neutral
1.06385E+18,2876666923,Sat Nov 17 17:39:06 +0000 2018,"""RT @SaliyaT_R: පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ. එහෙම ඉදගෙන උන්ගේ ශරියාව සහ උන්ගේ බෝවීම ස්ථාවර කරගන්නවා. උන්ගේ ටාගට් එක රටේ බහුතර…""",Neutral
1.06381E+18,1.06157E+18,Sat Nov 17 15:04:03 +0000 2018,"""මේ පරය තමයි #fakenews වපුරන්නෙ https://t.co/yVOaR51cPn""",Offensive
1.06365E+18,234496963,Sat Nov 17 04:14:25 +0000 2018,"""RT @ApiWenuwen: ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් @pcranawaka අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ…""",Neutral
1.06358E+18,9.7137E+17,Fri Nov 16 23:57:22 +0000 2018,"""@reeriiyaka @SaliyaT_R ගෙරි හම්බයා ...""",Offensive
